date,content,title,matched_keywords,source
2016-12-29 09:33:03,"@dailygaebokchi 아이 낳고, 몸을 추스리고 난 뒤에는 자연스럽게 남편이 출산 휴가를 받아서 최저 1년, 최고 2년을 부모가 아이를 직접 기를 수 있게 제도가 정비되어 있더라. 임신과 출산은 여자가 부담해야 할 부분이 많지만 양육은 충분히","@dailygaebokchi 아이 낳고, 몸을 추스리고 난 뒤에는 자연스럽게 남편이 출산 휴가를 받아서 최저 1년, 최고 2년을 부모가 아이를 직접 기를 수 있게 제도가 정비되어 있더라. 임신과 출산은 여자가 부담해야 할 부분이 많지만 양육은 충분히","['출산', '임신', '아이', '부모', '여자', '남편', '제도']",twitter
2016-12-23 00:00:00,미운 우리 새끼 17회 20161223 SBS 박수홍은 김수용이 아이를 싫어하다가 결혼 후 변했다고 말하는 모습을 보이게 된다. 홈페이지 http://program.sbs.co.kr/builder/programMainList.do?pgm_id=22000009613,"박수홍, 김수용에 “아이들 싫어하던  형이 결혼 후 변했다” @미운 우리 새끼 17회 20161223","['결혼', '아이']",youtube
2016-11-21 00:00:00,"오늘은 11월 달에 안양시육아종합지원센터에서 열린 유익한 강의 이야기를 들고 왔습니다.바로 '우리아이 건강하고 행복하게 키우기'라는 강의인데요.이날은 서울대학교출신으로 현재 소아전문병원의로 계시면서 많은 책을 발간한 하정훈 원장님께서 강의를 맡아주셨답니다.결혼을 앞둔 예비부부나 곧 엄마가 되실 분들, 또는 육아에 도움이 필요하신 분들,“내 아이지만 육아가 정말 어렵다!” 하시는 분들까지 이번 강의에 많이 참석해 주셨습니다.이번 강의에 참석하면서 받은 기념품도 있답니다.시간제보육 홍보책자와 아이들이 좋아할만한 그림이 그려진 캐릭터 밴드를 몇 개 받았습니다.요즘에는 인터넷에 수없이 많은 정보가 떠돌아다니고 있죠.그 중에는 전문의가 제공하는 정보뿐만 아니라 비전문가들이 자신의 경험을 바탕으로 적은 정보들도 있는데요.과연 무엇이 맞는 건지 헷갈릴 때가 많아요.이 말이 맞는 것 같기도 하고, 저 말이 맞는 것 같기도 한데 이 물음에 하정훈 원장님께서 말씀해주셨습니다.육아에 대한 정보는 전문의가 쓴 글을 보아라.육아 책은 가장 최신의 것으로 보아라.아이를 지식으로 키우지 말고 문화로 키워라.이 세가지가 우리아이를 건강하고 행복하게 키우는 기본 방법이라고 합니다.우리 엄마들께서 행하시는 육아방법들 중에는 지혜로운 것들도 많지만 한편으로는 의심스러운 부분도 많아요.조금 생소한 방법들도 많은 것 같은데요.그럴 때 필요한 것이 바로 소아과 전문의의 의견일 것입니다.이제부터 제가 들은 강의 내용을 간단하게 적어보겠습니다.주제는 위에 말씀 드린 것과 같이 우리아이 건강하고 행복하게 키우기 입니다.2시간짜리 강의 내용을 다 적을 순 없지만 강의 핵심적 내용만 몇 개 말씀드릴께요!1. 산후조리를 집중적으로 하는 2주 동안 누워만 지내서는 안됩니다.2주 동안 엄마, 아빠가 되는 준비를 해야 합니다.그리고 가장 중요한 것은 24시간 아기와 함께 해야 한다는 것입니다.이 2주 동안 자신의 아기와 함께 시간을 보내는 것이 아기의 전 인생을 바꿀 정도로 중요하다는 점을 잊지 마세요!2. 시럽과 비타민C를 같이 먹는 것은 위험할 수 있습니다.처방 받은 물약은 1주일 후 폐기하는 것이 좋고, 개봉한 물약은 한 달이 지나면 폐기하는 것이 좋습니다.3. 신생아를 키우는 적정온도는 20~22도가 적당하며 25도까지는 괜찮습니다.27도가 넘으면 아기에게 좋지 않으며 체온 유지를 위해 신생아는 벗겨두지 않아야 합니다.6개월 이전에는 일광욕을 시키지 않습니다.손싸개는 하지 않는 것이 좋습니다.아기들은 입으로 세상을 보며 입으로 많은 것을 느끼는 시기이므로 이 시기에 손싸개를 하거나공갈 젖꼭지를 너무 자주 물려주면 언어발달이 느려질 수 있습니다.아기들의 손톱은 아주 고운 사포로 다듬어 주어도 됩니다.4. 만 3세까지는 아이와 많은 시간을 보내는 것이 중요한데 여기서 가장 중요한 것은 가정의 문화입니다.아이는 가정에서 지켜야 하는 룰을 스스로 지켜나가면서 자기 통제력을 배우게 되는데요.권리가 있으면 의무도 있다는 것을 알려주어야 합니다.예를 들어 밥을 먹을 때 밥을 차려놓고 먹게만 하는 것이 아니라밥을 먹으려면 숟가락, 젓가락을 놓아야 한다는 의무를 알려주고식사시간에는 얌전히 앉아서 밥을 먹어야 한다는 것을 항상 상기시켜 주어야 합니다.이렇게 스스로 밥을 먹는 아이는 처음에는 다 뒤집어 쓰고 흘리겠지만 나중에는 편식 없이 스스로 잘 챙겨먹는 아이가 된답니다.이것은 반드시 8개월 이후부터 반복적으로 실천할 수 있도록 합니다.5. 미래에는 사회성, 창의성, 협동능력이 중요해지며 엄마의 일상생활에서 아이는 모든 것을 배워갑니다.때문에 아이에게 끌려 다니지 말고 엄마만의 건강한 일상생활을 아이와 함께 하도록 하는 것이 좋습니다.엄마가 친구를 만나거나 이웃을 만나는 것을 보고 아이는인간관계의 접근방법과 타인의 감정을 어떻게 읽고 어떻게 대해야 하는지를 배우게 됩니다.어린이집이나 키즈카페 같은 시스템화 되어 있는 집단에서보다는가정 내에서 혹은 일상 속에서 즐거움을 찾게 만들어주는 것이 좋습니다.우리는 120살까지 산다는 얘기가 있지만 우리 아이들은 150살까지 산다는 얘기가 있는 것처럼오랜 시간 아이가 행복하게 살기 위해서는 돈이 아니라 건강과 행복을 축적하는 방법을 터득하게 하는 것이 좋습니다.2시간 동안 진행되었던 강의 마지막에는 평소에 궁금했던 점들을 자유롭게 질문하는 시간이 주어졌는데요,시간이 부족해서 질문이 중단될 만큼 뜨거운 호응이 있었답니다.^^그리고 강의가 끝난 이후에도 하정훈 원장님은 올바른 육아정보에 목마른 엄마들에게 둘러싸였다지요.^^현명하고 지혜로운 부모가 되는 길은 정말 쉽지 않아 보입니다.하정훈 원장님의 강의 내용 중에""아이는 5% 부족하게 키우는 것이 오히려 현명하다."",""인생에는 사랑, 절제, 성취, 좌절이 모두 있다는 것을 알려줄 필요가 있다.” 등의 내용이 있었는데이처럼 아이를 많이 사랑해 주는 것은 좋지만 혼낼 때는 단호하게 혼낼 줄도 알아야 한다.”는 말을 남겨주셨습니다.""영어조기교육과 같은 선행교육은 아이를 망치는 가장 첫 번째 지름길이니초등학교 입학하기 전까지는 무조건 놀아야 한다고 합니다.또래 아이들과 어른들의 통제 없이 어울려 놀게 되면 사회성, 협동능력, 창의성이 길러진다고 하니 참고해주시는 것이 좋겠습니다.개인적으로 저는 “아이의 인생에서 가장 중요한 시기를 책상 앞에서만 보내게 하지 말아라.""라는 말이 가장 마음에 와 닿았네요하정훈 원장님께서는 마지막으로 재미있는 말씀도 해주셨는데, ""아이를 어떻게 길러야 하는지 도무지 모르겠다! 할 때는내가 어렸을 때 부모님께 '너무 억울하게 당했다' 라는 느낌이 드는 것만 빼고 그대로 하면 그게 정답.""이라고 하십니다.대한민국에 살고 있는 모든 예비부모님, 현직부모님들 모두모두 화이팅 하며 현명한 육아를 위한 응원 드립니다.^^",우리아이 건강하고 행복하게 키우는육아비법,"['육아', '법']",blog
2016-11-21 00:00:00,"드디어(?) 시작되는 다낭 여행후기.아기와 함께하는 해외여행지로는 이제 괌과 함께 양대 산맥이 된 다낭.예전에 여행 준비를 하면서 인터넷 검색을 했을 때와 달리요즘은 호텔 광고나 여행사 광고가 많아서 순수 여행자들의 리뷰 찾기가 점점 힘들어지는 것 같아요.그래서 별 대단한 정보랄 건 없지만 조금이라도 이웃님들께 도움이 되고자열심히 후기를 남겨보려고 하니 어여삐 여겨주소서... ㅎ그렇습니다.먼저 토리와 함께하는 첫 해외여행지로 왜 다낭을 택했을까요? ㅎ저의 여행지 선정 조건은 이러했어요.우선, 부산에서 직항으로 가는 비행 편이 있을 것. 비행시간은 물론 최대한 짧으면 좋겠다.두 번째로 공항에서 관광지로의 진입시간 역시 짧을 것.비행시간이 짧아도 공항에서 리조트까지 진입시간이 길다면 문제가 되니까요. ㅎ세 번째로 아기와 함께하는 여행, 대부분의 시간을 보내게 될 리조트가 좋았으면...!네 번째로 그래도 심심하니까 주변에 가볍게 구경할 곳이 있는 곳. (모순되지만 ㅎ)그래서!!! 선택한 곳이 다낭이랍니다.우선 비행시간은 3시간 반에서 4시간. 물론 직항이고 공항과 시내 진입은 5~10분이니까 문제없구요.비슷한 거리의 괌에 비해 가성비 좋은. 그리고 새로 지은 컨디션 좋은 리조트들이 많다는 점.베트남 물가가 싼 편이라 맘껏 먹부림을 할 수 있다는 점.그리고 가까운 곳에 유네스코 세계문화유산으로 지정된 호이안이라는 고도시가 있다는 점까지.다녀와서 내린 결론도 아기와 함께 다녀오기에 참 괜찮은 곳이란 생각이에요.물론 성인들끼리두요. ㅎ자세한 다낭 이야기는 앞으로 차차하기로 하고.처음 아기와 함께하는 해외여행에서 가장 걱정이 되는 짐 싸기.저 역시 그랬지만 지나고 보니 별거 아니었다는 결론 역시 먼저 말씀드리면서시작해 볼게욧!1. 여권&현금&신용카드&E티켓및바우처절대 빠트려서는 안될 가장 중요한 준비물이죠. ㅎ물론 티켓이나 바우처는 꼭 지참해야 하는 건 아니지만 챙겨놓으면 더 편하구요.환전은 베트남의 경우 대부분 국내에서 달러로 환전한 후, 현지에서 베트남 동으로 재환전을 많이 해요.현지 공항에서 바로 환전하면 되기 때문에 그리 불편할 건 없었어요.(새벽에 도착해도 공항 앞 환전소는 영업을 해요. ㅎ)그리고 미리 만들어두었던 토리 여권.아기 여권 만들기는 아래 포스팅 참고하세요.2. 아기 위생용품면봉, 구강티슈(혹은 칫솔과 치약), 선크림, 로션, 주방세제&세탁세제, 손소독제, 모기기피제, 바디워시,샴푸캡저는 꼭 필요한 것만 챙겼어요. 아, 동남아는 햇볕이 뜨거우니 수딩젤 챙겨가면 좋아요.현지에서 손을 자주 씻을 수 없거나 베이비체어 등 소독할 일이 있을 때 사용하려고손소독제 챙겨서 수시로 사용했어요.3. 비상약물론 병원에서 비상약들을 처방받아 가셔도 됩니다. ㅎ토리 담당 의사 선생님은 너무나 쿨하셔서 그냥 잘 다녀오라고 했어요. ㅋ물론 떠나기 며칠 전에 토리 상태 체크해봤구요.제가 챙긴 약들은 일단 토리 건 해열제, 모기 패치, 체온계, 리도멕스, 후시딘 정도랍니다. 흠..그 외엔 테라플루, 아스피린, 인공누액, 알콜스왑, 대일밴드.정말 비상시엔 호텔이나 현지 약국에서 조달한다 생각했어요.해열제는 더운 나라니 되도록 개별 포장된 해열제로 챙겨가는 게 좋을 것 같아요.물론 교차로 먹일 두 종류로. (멀쩡하다가도 열나는 경우는 매우 다반사.)비상약은 정말이지 아이에 따라 엄마가 잘 챙기셔야 해요.4. 의류내의 얇은 긴팔과 칠부,날씨에 따라 편하게 입힐 얇은 긴팔 외출복과 반팔&반바지 민소매, 가디건까지 골고루 챙겼어요.모자와 얇은 스카프, 손수건, 턱받이도 챙기구요.신발은 전천후로 신을 샌들과 운동화 두 켤레만.현지 날씨에 따라 챙기되 동남아는 기본적으로 덥지만실내는 빵빵한 에어컨 때문에 기온차가 크니 긴팔 옷은 꼭 챙기는 게 좋아요.5. 기저귀&방수기저귀&물티슈&여행용티슈얼마큼 가져가야 하나... 걱정인 기저귀. ㅎ 저는 대충 평소 하루양에서 +1개씩 챙겨가 3장 남겨왔어요. ㅎ물티슈는 호텔 룸에 놓고 쓸 대용량 1개와 휴대용 4개 챙겼는데 생각보다 많이 쓰지 않아서휴대용은 2개나 남겨왔어요. ㅎ기저귀는 지퍼백에 최대한 공기를 빼고 넣었더니 부피가 많이 줄었어요.6. 물놀이 용품래쉬가드, 모자, 가운, 튜브, 구명조끼 등.토리는 아직 어려서 튜브만 챙겨가고 드라이백에 꾹꾹 눌러담아 최대한 부피를 줄였어요.우리 가족 래쉬가드가 모두 들어간 상태랍니다. ㅎ7. 블랭킷비행기안이나 여행중, 물놀이중 사용할 비치타올겸 블랭킷.얇은것과 도톰한 것 두장 챙겼어요.얇은건 호텔방에서 이불로.도톰한건 물놀이하면서. 기내에서 잘 사용했답니다.8. 먹을 것.가장 신경쓰이는 품목. ㅎ식사용으로 빠질수 없는 김과 햇반. 후리가케. 짜장&카레. 아기쌀국수 정도 챙겼구요.간식으로 각종 과자류, 쥬스, 우유.그리고 생수와 아기보리차까지.결론은 보이는 것 중 2/3정도는 다 먹고 왔어요. ㅎ물론 현지 마트에서 구입해도 된답니다.9. 그외 유용한 도구들.간식통. 막상 작은 간식들을 먹이려면 휴대용 케이스가 필요해요. ㅎ음료병에 빨대구멍 뚫어주는 펀치 유용하게 사용했구요. +빨대과도는 그리 필요없었고. 작은 가위는 유용. 여분의 비닐백.이유식스푼 대신 1회용으로 사용한 31 스푼도 잘 챙겨간 것 같아요.10. 장난감스티커북이랑토리가 평소에 좋아하는 장난감과 비누방울 챙겼어요.비누방울은 못하고 그대로 들고왔어요. ㅎ스티커북은 기내에서 아주 잘 썼구요.그리고 현지 마트에서 모래놀이장난감이랑 볼풀용 볼 사서 잘 갖고 놀고 잘 놔두고 왔어요. ㅋ11. 전자제품류아기헤드폰은 기내에서 뽀로로 등을 보여줄 때 유용하구요.카메라, 셀카봉, 보조배터리 등 각종 충전기.12. 우의와 우산비가 온다고해서 챙겨갔는데 그대로 들고왔어요.(기본적인 어른 준비물은 생략했어요. ㅎ)13. 휴대용 유모차 & 아기띠유모차도 잊으면 안되죠. 기내반입용 유모차가 확실히 편한 것 같아요.기내에서 사용할수도 있을 것 같아 아기띠도 챙겼는데 실제론 쓰지 않았어요.모든 짐을 넣으니 28인치 캐리어가방이 이만큼.ㅋ물론 꽉꽉 눌러 담으면 여유공간은 더 많이 나오지만요.토리와 첫 해외여행이라 그런지 만만치 않았던 아기와 해외여행 짐싸기.하지만 이제는 다시 짐싸라고하면 척척 금방 쌀 것 같아요.필요한 것 필요없는 것 잘 구분해서 더 가볍게 ㅎ물론 아기마다 달라서 몇번 다녀보고 경험적으로 내려야할 것 같아요.이제 모든 준비는 끝났으니 다낭으로 Gogo!!!!",[아기와 다낭여행] 20개월아기와 해외여행 준비물&짐싸기,"['아기', '개월', '준비물']",blog
2016-12-02 00:00:00,왔어요 왔어요 또 왔어요급성장기...폭풍의 시기오늘은 D+316일10개월에 들어서면서 시작된 리오의 징징징지난주가 정말 폭풍 이였답니다일주일 내내 한시간에 한번씩 깨서 우는 리오를 달래느라 어미는 다크서클과 눈에 핏줄이 파파박 ㅠㅠ역시나 10개월 44주가 폭풍의 시기였네요오늘로써 45주1일인데 오늘밤은 잠을 잘 자줄라나ㅠㅠ10개월 아기 급성장기는여지껏 겪어왔던 급성장기보다 제일 심한거 같아요ㅠㅠ아무래도 이번달에는 걸음마를 하는 새로운기술도 연마를 하게 되고윗니가 무려4개씩 올라오고 있고큰 성장을 이루느라 더 힘들어 하나봐요ㅠㅠ밖에 나가면 아무나 보고 헤헤 잘웃던 리오인데요즘들어 뚱~~하고밤잠 설치는건 물론이고낮에도 그냥 이유없이 징징징뭐가 조금이라도 마음에 안들면 엄마아~~~!!하고 소리를 지르며운답니다ㅠㅠ그리고 두팔을 벌려 안아달라고 징징징근데 또 아기띠로는 안지 말래요그냥 안으래여ㅠㅠㅎㅎㅎ이제 10키로 가까이 되는 아들을 맨손으로 안기에 손목이 무리가 오는데 ㅠㅠ아기띠로 안으면 막뒤로뻐팅기고그나마포대기로하면 좀 울다가낮잠을자네요이제 자기가 하고 싶은 것도 많고 고집도 생기고 자기 주장이 생겨서 그런것 같아요어디든 붙잡고 올라가는 리오활동 반경이 넓어지면서 위험요소도 많아져하루죙일 어미는 리오왕을 졸졸졸 쫒아다니며 시중을 든답니다어미 어깨에는 곰이 한마리가 앉아잇어요 엉엉10개월 급성장기 정말 폭풍의 시기를 겪고 있어요ㅠㅠㅠ이제 돌촬영도 해야하는데 그때까지 리오왕의 징징거림이 안끝나면 어쩌죠ㅜㅜ힝힝다행히 이런 급성장기를 겪고 있는 징징이 리오를 잠시나마 웃게해줄 방법은 있어요과일 간식타임!!^^리오는 과일은 정말 좋아하거든요이유식을 잘 안먹게 될 수 있으니 조금만 줘야하는데..요즘 리오가 홀릭된 과일은 감말랭이!!웃으면 요렇게 천사 ^^리오야 이 시기도 다 지나갈거야조금만 힘내자엄마팔목따윈 괜찮아하하하하 많이 안아줄게 아프지말고 잘 이겨내자사랑해~~~~~!!!,10개월아기 급성장기! 폭풍의시기..,"['아기', '개월', '시기']",blog
2016-12-19 00:54:07,"쿠팡, “2016년 최고 인기 출산·유아용품 한 자리에” / 브레이크뉴스 https://t.co/b6pl8ZOArM","쿠팡, “2016년 최고 인기 출산·유아용품 한 자리에” / 브레이크뉴스  https://t.co/b6pl8ZOArM","['출산', '용품']",twitter
2016-11-29 00:00:00,"[동아일보]몇 해 전 워킹맘인 30대 후반의 환자가 자꾸 갈증이 나면서 체중도 준다며 피곤함을 호소했다. 4.3kg의 거대아(체중 4kg이상)를 출산한 경험이 있고 임신 중 임신성 당뇨 판정을 받았던 적이 있다고 했다. 측정 결과 공복 혈당이dL당 250mg이었다. 보통dL당 70∼100mg인 정상치에 비하면 상당히 높은 편이었다. 그는 당뇨 가족력도 없는 데다 임신성 당뇨 판정을 받긴 했지만 출산 후 정상으로 돌아왔기 때문에 당뇨는 생각지도 못했다.임신성 당뇨는 당뇨병이 없는 여성이 임신 중 당뇨병이 생긴 것을 말한다. 당뇨병을 일으킬 수 있는 유전적 소질을 가진 여성에게서 임신과 동시에 호르몬, 특히 태반호르몬의 작용으로 인해 발병하는 것으로 알려져 있지만 정확한 발병기전은 아직 밝혀지지 않았다. 임신 중 혈당 관리가 잘 안 되면 거대아, 신생아 저혈당과 황달, 호흡곤란증 등 신생아 합병증을 일으킨다. 또 임신성 고혈압, 양수과다증으로 인한 조기진통을 유발할 수 있고 제왕절개의 가능성을 높인다. 이처럼 임신성 당뇨병은 임신부뿐만 아니라 태아의 건강에도 영향을 미칠 수 있어 세심한 관리가 필요하다.임신성 당뇨는 출산 후 대부분 사라지지만 다음 임신 때 재발하기도 한다. 또 임신성 당뇨병이 있었던 여성의 상당수에서 분만 후 시간이 지나면 당뇨병이 발생할 때가 많다. 따라서 임신 기간에 임신성 당뇨병을 진단받은 임신부는 출산 뒤에도 당뇨병이 발병할 위험이 있기 때문에 예방을 위해 지속적으로 관리해야 한다.임신성 당뇨로 확진을 받았다면 지방이 적고 칼로리가 낮은 음식을 섭취하고 무리가 가지 않는 선에서 걷기나 수영과 같은 유산소운동을 꾸준히 하는 것이 좋다. 혈당이 잘 조절되지 않을 때는 인슐린 치료를 해야 한다.문제는 임신성 당뇨가 단순히 임신 중 혈당 조절에서 끝나지 않는다는 점이다. 임신성 당뇨 진단은 당뇨병이 발병할 위험성이 높다는 것을 알리는 경고이기 때문이다. 임신성 당뇨가 있었던 여성은 분만 6∼8주 후에 시행하는 당 부하검사에서 정상이더라도 분만 후 수년이 지나면 제2형 당뇨병(비임신성 당뇨)이 발생할 가능성이 높다.그래서 적절한 식사와 운동을 통한 체중 관리와 정기적인 검진이 필요하다. 특히 비만 여성은 아이를 낳은 뒤 당뇨병으로 이어질 가능성이 높아 출산 전후 꾸준히 체중 관리를 해야 한다. 또한 임신 중에 당뇨병 진단을 받지 않았다 하더라도 거대아 출산 경력이 있다면 추후 제2형 당뇨병 발병 가능성이 높아 정기적인 검진을 꼭 받아야 한다.상원의료재단 박혜영 원장▶ 동아일보 단독/동아일보 공식 페이스북▶ 어제 못본 TV 명장면이 궁금하다면 'VODA'ⓒ 동아일보 &donga.com,무단 전재 및 재배포 금지","[힘찬병원의 착한 의료이야기]임신성 당뇨,출산후에도 꾸준히 관리를","['출산', '임신', '병원']",news
2016-11-08 00:00:00,"아이가 하나와 둘... 다들 하나일때가 좋았다며 둘일때는 짐부터 차이가 난다고 했는데요,아이 둘 데리고 외출하려 하면 짐이 한보따리..거의 트렁크 하나 수준으로 바리바리 싸고다니게 되더라구요.ㅠㅠ이번에도 지인들과 여행을 가며 짐을 챙기는데..기저귀가방 백팩 하나 가붓하게 들고 가면 어떨까?짐 바리바리 넣어도 수납력 좋은제이해밀턴 기저귀가방 백팩에 넣어 나들이 다녀왔답니다.아이 수영복이며 내의, 겉옷까지날씨가 추워질수록 짐은 더더더 무거워진다는...ㅠㅠ제이해밀턴 기저귀가방 백팩을 만나고 보니가방 자체 무게도 가붓하고, 이곳저곳 수납하기 좋아 외출해도 편하게 메고 다닐 수 있어요.유모차, 자전거에 연결하여 사용할 수 있는 고리가 있어아이와의 외출도 부담없어요.요즘 추운날씨라 가방 들고 다니기 귀찮고 힘든데,고리를 이용하여 걸어주기만 하면 되니 편하더라구요.11자형 부드러운 지퍼는 한손으로 슥~ 여닫을 수 있게 디자인되어 있어요.지퍼에도 제이해밀턴 로고가 똬악!디테일도 꼼꼼하여 믿고 사용할 수 있지요~짜잔~ 러블리수 가방에는 뭐가 들었을까요^^궁금하시죠?궁금하면 5백원~ㅋㅋㅋㅋㅋ앞쪽에는 아이 양말과 가재수건 등 둘째를 위한 위생용품을 넣어주고,가방쪽에는 아이 옷은 물론 기저귀 가득 넣어 나왔어요.지퍼에 망사로 되어 있어 안에 내용물을 쉽게 확인가능~보고 바로 쏙쏙 꺼낼 수 있으니 편해요.넉넉하고 스마트한 수납공간 보이시나요?각잡힌 외형에 13개의 주머니는 물건 수납을 편하게 해주죠~가방 안쪽에도 지퍼가 있어 귀중품을 보관하기 딱!디테일하죠?앞쪽 수납공간에는 가장 많이 사용하는 물티슈와 첫째를 위한 위생용품으로~눈에 보이도록 넣어주니 가방 뒤적뒤적 할 필요 없어 굿~!안쪽에는 기저귀 파우치를 함께 넣어 왔다는^^큰아이 기저귀 5장 쏙 넣어주니 스마트한 사이즈라 좋죠~자기꺼는 자기가 챙기기~아이 손목에 쏙 !자기꺼라며 자기가 들고 가기아이가 들고다니기에도 부담없죠?급할땐 간편하게 커버만 닫고 이동하면 열리지 않아 굿!제이해밀턴 만의 커버 자석은 간단해보이지만닫히면 열리지 않아 내용물이 보이지 않게 해준답니다.너무 짐을 가득 넣어 제대로 잘 닫히지 않는것 같이 보이는데요,저 처럼 미련하게 꽉 채우기보다 살짝 넉넉히 채우신다면탁탁 하고 자석이 달라붙는답니다^^저처럼 자크 잠구기 깜빡 하는 분들에게 유용한 아이템이라죠~!뒷모습도 예쁜!깔끔하죠~~뒷판에도 지퍼로 간단히 소지품을 넣어 다닐 수 있어요.고정되어 있어 구겨지기 쉬운 종이를 넣어주어도 좋을듯!또한 위쪽 고리에는 소지품을 걸어 주면 보관하기 편하답니다^^가붓하니 손으로 들고 다녀도 굿~디자인이 예뻐서 숄더백으로 사용해도 손색없어요^^함께 간 친구가 탐이난다며 한번 착용해보겠다고^^러블리수가 선택한 색상은 다크네이비 인데요,색도 고급지고 햇빛에 나가니 은은한 네이비가 진한게 훨씬 고급져 보이더라구요.옆모습도 굿~~~!!친구가 메니 더 예뻐보인다며...ㅋㅋㅋ내꺼 맞아?^^뒷모습도 깔끔하쥬?^^기저귀가방 백팩 이만한 제품이 없다며 우쭐!옆지퍼에는 간단한 소지품 넣어 다니기휴대폰 쏙~ 넣어 다니니 꺼내기도 쉽고, 눈에 보이니 잃어버릴 일 없다는!기저귀가방 백팩 제이해밀턴장점이 이렇게나 많으니 안살 수 있겠냐며^^선택하길 잘한것같아요.기저귀가방 백팩 찾으신다면 제이해밀턴은 사랑입니당!",기저귀가방 백팩 제이해밀턴 선택 후회없어!,"['가방', '기저귀']",blog
2016-12-05 17:47:20,"결혼이나 출산, 육아 같은 사회적 구조로 묶여 있는 관계 따위로도 증명할 수 없는 깊은 사랑을 해라","결혼이나 출산, 육아 같은 사회적 구조로 묶여 있는 관계 따위로도 증명할 수 없는 깊은 사랑을 해라","['출산', '육아', '결혼', '사랑']",twitter
2016-11-23 00:00:00,"*모성보호시간임신 후 12주 이내에 있거나 임신 후 36주 이상(35주 1일째부터)에 해당하면1일 2시간의 범위에서 휴식이나 병원 진료를 위한 모성보호시간을 받을 수 있다.*출산휴가출산 전후를 통해 90일(한 번에 둘 이상의 자녀를 임신한 경우에는 120일)의 출산 휴가를 승인할 수 있으며휴가 기간은 출산 후에 45일(한 번에 둘 이상의 자녀를 임신한 경우에는 60일)이상이 되게 해야 한다.*휴가기간의 배치는 의료기관의 진단서에 의한 출산 예정일을 기준으로 하되,조산의 우려 등 특별한 경우는 예외 인정*휴직중에는 출산휴가 산정이 곤란하므로, 출산전에 육아휴직 중인 경우에는 출산예정일을 기준으로사전에 인사부서에 복직신청을 하고 출산휴가 신청에 대한 의사를 표해야 함.출산 전 어느 때라도 최장 44일(한 번에 둘 이상의 자녀를 임신한 경우에는 59일)의 범위에서 출산휴가를 나누어 사용할 수 있는 경우- 유산 또는 사산의 경험이 있는 경우- 출산휴가를 신청할 당시 연령이 만 40세 이상인 경우-유산 또는 사산의 위험이 있다는 의료기관의 진단서를 제출한 경우*단, 유산 또는 사산의 위험이 있다는 의료기관의 진단서를 제출한 경우 병가 및 출산휴가 신청 가능임신 이후 유산 또는 사산한 경우-임신기간이 11주 이내 : 사유 발생일로부터 5일까지-임신기간이 12주 이상 15주 이내 : 10일까지-임신기간이 16주 이상 21주 이내 : 30일까지-임신 기간이 22주 이상 27주 이내 : 60일까지-임신기간이 28주 이상인 경우 : 90일까지* 유산 ·사산한 날 이후 일정기간이 지나서 청구하면 그 기간만큼 휴가기간이 단축됨.일반 병가를 허가할 수 있는 경우임신중에 심한 입덧이나 부작용 등으로 안정의 필요성이 있는 경우*육아휴직만8세 이하(취학 중인 경우에는 초등학교 2학년 이하-나이보다 학년을 우선함) 자녀를 양육하는 경우3년 이내(단, 남자는 1년 이내)로 하되, 분할하여 휴직 가능하다.횟수에 제한 없이 분할 사용 가능하다.학기 단위의 휴·복직 허가 원칙최초 1년은 경력, 승급 인정(셋째부터 전 기간 인정)휴직일로 부터 최초 1년 이내 육아휴직수당을 지급한다. (상한액 100만원/하한액 50만원)- 육아휴직수당은 현재 호봉 기준 월봉급액의 40%이다.임신 초기에 2시간 일찍 퇴근해서 휴식하는 제도는 참 좋다.36주 이상은 이미 출산 한 달 전이니 모성보호시간을 쓸 사람은 거의 없을 것 같다.휴직은 어떻게 써야 잘 썼다고 소문 날 지 고민해보아야 할 듯.","모성보호시간 사용,출산휴가, 육아휴직","['출산', '육아', '휴직']",blog
