target_word,range,quarter,mean_projection,std_projection,median_projection,min_projection,max_projection,count,accuracy,total_sentences,correct_predictions
출산,range1,2016Q4,-0.08246449098338322,0.02967792711471487,-0.07997965067625046,-0.2605242133140564,0.03275454044342041,11621,0.8838298215871478,12387,10948
육아,range1,2016Q4,-0.09641409510267444,0.034788074422375956,-0.08796603605151176,-0.2605242133140564,0.03275454044342041,8214,0.7618173474070674,8716,6640
아이,range1,2016Q4,-0.11229297108857492,0.0268762508015531,-0.1118069738149643,-0.24256575107574463,0.03275454044342041,5953,0.7832761718112037,6123,4796
아기,range1,2016Q4,-0.11335732622887312,0.030273964666458725,-0.11368627101182938,-0.2605242133140564,0.0171660166233778,5342,0.8272431259044862,5528,4573
임신,range1,2016Q4,-0.08911065046560993,0.028545996815725935,-0.0838288813829422,-0.2539006471633911,0.03275454044342041,5197,0.837863167760075,5335,4470
엄마,range1,2016Q4,-0.11523868523781286,0.029249880725507615,-0.11593280360102654,-0.23712041974067688,0.0007459530606865883,3692,0.8582922398131326,3853,3307
결혼,range1,2016Q4,-0.08912704027073522,0.028703516214391205,-0.08436375856399536,-0.23816543817520142,0.0171660166233778,3577,0.7994497936726273,3635,2906
애,range1,2016Q4,-0.12319611859504002,0.03436031850417336,-0.12524175643920898,-0.26627764105796814,0.027186252176761627,4830,0.3151826888967719,5638,1777
남편,range1,2016Q4,-0.12703646007166416,0.03313185541002092,-0.12724551558494568,-0.2524430453777313,0.0007459530606865883,2538,0.654302103250478,2615,1711
신생아,range1,2016Q4,-0.10733677638024841,0.03173614196791433,-0.10669897124171257,-0.2576395273208618,0.0171660166233778,2386,0.6413793103448275,2465,1581
병원,range1,2016Q4,-0.08615705703322477,0.02819791437545486,-0.08258026093244553,-0.21547552943229675,0.0007459530606865883,2243,0.7817109144542773,2373,1855
저출산,range1,2016Q4,-0.07139220480487012,0.032569583158554065,-0.06452914699912071,-0.2474849671125412,0.018145425245165825,2118,0.8400921658986175,2170,1823
아빠,range1,2016Q4,-0.1277077919825399,0.03310621837897503,-0.12964320182800293,-0.23343010246753693,0.0007459530606865883,1919,0.6837811900191939,2084,1425
지원,range1,2016Q4,-0.07436035789169093,0.02994262589055685,-0.07472111284732819,-0.230152890086174,0.03275454044342041,2579,0.7464248343215905,2867,2140
산모,range1,2016Q4,-0.10111775365127848,0.031508061728107876,-0.10098834335803986,-0.23462533950805664,0.0171660166233778,1932,0.7173803526448362,1985,1424
정책,range1,2016Q4,-0.06753533898581959,0.0234125910848792,-0.0671871155500412,-0.18309050798416138,0.0171660166233778,1919,0.7359888837424734,2159,1589
개월,range1,2016Q4,-0.10832374407510673,0.032444621257816296,-0.103489451110363,-0.2605242133140564,0.027186252176761627,700,0.14773904038660685,2897,428
분만,range1,2016Q4,-0.0874956152284901,0.023226151514693538,-0.08302178606390953,-0.2236526608467102,0.0007459530606865883,1274,0.664572864321608,1592,1058
아가,range1,2016Q4,-0.1240457207383559,0.03382450792021714,-0.1258372962474823,-0.2605242133140564,-0.010091006755828857,1609,0.11535523300229182,2618,302
자녀,range1,2016Q4,-0.10174689981322942,0.0276808789087578,-0.103335902094841,-0.2059246003627777,0.019083106890320778,1537,0.6496577473553204,1607,1044
임산부,range1,2016Q4,-0.0970870290132415,0.030328528467256612,-0.09416906535625458,-0.25804245471954346,0.0007459530606865883,1411,0.7143840330350998,1453,1038
돌,range1,2016Q4,-0.11945719635108853,0.034906541609264784,-0.11679871752858162,-0.2605242133140564,0.03054405003786087,3568,0.16817404057687607,4091,688
둘째,range1,2016Q4,-0.10795731715893671,0.03213404248705134,-0.11064179986715317,-0.22795511782169342,0.0012219874188303947,1357,0.8406633020908435,1387,1166
부모,range1,2016Q4,-0.10777794155621134,0.03564577381536808,-0.10973702371120453,-0.22795511782169342,0.03275454044342041,2251,0.49725854070012654,2371,1179
인구,range1,2016Q4,-0.060428857840928364,0.02675400840586839,-0.055646367371082306,-0.2605242133140564,0.017166055738925934,1239,0.746360153256705,1305,974
조리원,range1,2016Q4,-0.0971061935171485,0.026698011250687752,-0.09317198023200035,-0.22495484352111816,0.0007459530606865883,1250,0.0,1310,0
부부,range1,2016Q4,-0.0961517460394366,0.038071965758572426,-0.09176044166088104,-0.2605242133140564,0.013034092262387276,1871,0.6757546251217137,2054,1388
가족,range1,2016Q4,-0.09056636224996757,0.03595931517222938,-0.08749401569366455,-0.21836110949516296,0.0052089449018239975,2139,0.5108743897026188,2253,1151
수유,range1,2016Q4,-0.091075487082943,0.01973818192471541,-0.08809170126914978,-0.20966456830501556,-0.03819366171956062,1175,0.8494711147274207,1229,1044
첫째,range1,2016Q4,-0.11390985283024102,0.026821288998919772,-0.11436690762639046,-0.20540133118629456,-0.04414789378643036,1030,0.8180076628352491,1044,854
정부,range1,2016Q4,-0.06139305906392864,0.036040786179110586,-0.05940646678209305,-0.19944515824317932,0.05901568382978439,1361,0.7323470073974445,1487,1089
애기,range1,2016Q4,-0.13116485062277033,0.027382551613950822,-0.13118072599172592,-0.23477038741111755,-0.04085739329457283,1428,0.31237458193979933,1495,467
기저귀,range1,2016Q4,-0.10692708706995985,0.024696977128217557,-0.10437086224555969,-0.23143671452999115,-0.020370248705148697,999,0.8122605363984674,1044,848
